posted_date,company_name,job_title,salary,position_level,qualification,years_of_experience,job_type,job_specialisation,industry,company_size
Posted on 4-Mar-22,Versatile Creation Sdn Bhd (Recruitment Firm),Senior Planner,,Senior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",3 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Human Resources Management / Consulting,1 - 50 Employees
Posted 22 hours ago,CRPP SDN. BHD.,Senior Manager / Assistant Manager,"MYR 6,000 - MYR 11,000",Senior Manager,"Diploma, Advanced/Higher/Graduate Diploma",3 years,Full-Time,"Sales/Marketing,Marketing/Business Dev",Automobile / Automotive Ancillary / Vehicle,1 - 50 Employees
Posted 9 hours ago,GREEN NATURE CLASS SDN. BHD.,Sales & Project Coordinator,"MYR 2,000 - MYR 3,500",Entry Level,Primary/Secondary School/O Level,2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Repair & Maintenance Services,
Posted on 12-Mar-22,Jora Jobs,"Factory Operator (Location: Jitra, Kedah)",,Non-Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate",1 year,Full-Time,"Manufacturing,Manufacturing",Human Resources Management / Consulting,1 - 50 Employees
Posted on 4-Mar-22,M MOTORSPORTS SDN BHD,PARTS ASSITANT,,Junior Executive,Not Specified,3 years,Full-Time,"Others,Others",Automobile / Automotive Ancillary / Vehicle,1 - 50 Employees
Posted on 2-Mar-22,Amlex Technology Sdn Bhd,Purchasing Executive,,Junior Executive,Not Specified,2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,51 - 200 Employees
Posted on 7-Mar-22,Pgeon Express Sdn. Bhd.,Internship for Inventory Management (Min 3 months),,Entry Level,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Internship,"Manufacturing,Purchasing/Material Mgmt",Transportation / Logistics,1 - 50 Employees
Posted on 10-Mar-22,BizLink Technology (S.E.A) Sdn. Bhd.,SENIOR CUSTOMER SERVICE REPRESENTATIVE,,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Services,Customer Service",Manufacturing / Production,501 - 1000 Employees
Posted on 10-Mar-22,Micron Memory Malaysia Sdn Bhd,SIG AMDC Production Manager,,Manager,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",5 years,Full-Time,"Manufacturing,Manufacturing",Semiconductor/Wafer Fabrication,1001 - 2000 Employees
Posted on 9-Mar-22,Advanced Ceramics Technology (M) Sdn Bhd,Storehand,,Non-Executive,"Primary/Secondary School/O Level, Higher Secondary/STPM/'A' Level/Pre-U, Professional Certificate",1 year,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,201 - 500 Employees
Posted on 9-Mar-22,Company Confidential,CUSTOMER SERVICE EXEC (PG),,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",1 year,Full-Time,"Services,Customer Service",,
Posted on 6-Mar-22,RK South Asia Sdn Bhd,Supervisor,"MYR 2,000 - MYR 2,800",Junior Executive,Primary/Secondary School/O Level,1 year,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,201 - 500 Employees
Posted on 9-Mar-22,Jora Jobs,ASSISTANT MANAGER (FACTORY & SITE),,Manager,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",8 years,Full-Time,"Manufacturing,Manufacturing",Human Resources Management / Consulting,1 - 50 Employees
Posted on 2-Mar-22,SRX Global (Malaysia) Sdn Bhd,Commodity Buyer,,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",3 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,51 - 200 Employees
Posted on 7-Mar-22,Robert Bosch (M) Sdn Bhd,Senior Planner (Customer Order Planning),,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",5 years,Full-Time,"Services,Logistics/Supply Chain",Manufacturing / Production,1001 - 2000 Employees
Posted on 10-Mar-22,WD Media (Malaysia) Sdn,Commodity Manager (Strategic Sourcing/MRO),,Senior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",5 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,1001 - 2000 Employees
Posted on 10-Mar-22,Molex (Malaysia) Sdn Bhd,Manufacturing Specialist / Manufacturing Technical Specialist,"MYR 1,400 - MYR 2,000",Entry Level,"Primary/Secondary School/O Level, Professional Certificate, Diploma, Advanced/Higher/Graduate Diploma",,Full-Time,"Manufacturing,Manufacturing",Electrical & Electronics,501 - 1000 Employees
Posted on 4-Mar-22,Armstrong Auto Parts Sdn Bhd,Sourcing Executive,,Junior Executive,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",2 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,501 - 1000 Employees
Posted on 8-Mar-22,Intel Technology Sdn. Bhd.,Factory Planning Coordinator,,Entry Level,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,"Services,Logistics/Supply Chain",Semiconductor/Wafer Fabrication,More than 5000 Employees
Posted on 10-Mar-22,Penfabric Sdn. Berhad,Sales Analyst,,Junior Executive,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",1 year,Full-Time,"Sales/Marketing,Marketing/Business Dev",Textiles/Garment,501 - 1000 Employees
Posted on 4-Mar-22,Xin Hwa Holdings Berhad,CUSTOMER SERVICE,"MYR 2,500 - MYR 3,500",Junior Executive,Not Specified,3 years,Full-Time,"Services,Customer Service",Transportation / Logistics,501 - 1000 Employees
Posted on 4-Mar-22,ULTRA CLEAN TECHNOLOGY (MALAYSIA) SDN. BHD.,Warehouse Supervisor,,Senior Executive,"Diploma, Advanced/Higher/Graduate Diploma",5 years,Full-Time,"Services,Logistics/Supply Chain",Semiconductor/Wafer Fabrication,501 - 1000 Employees
Posted on 7-Mar-22,Jabil Circuit Sdn Bhd,Senior Planner / Planning Supervisor,,Senior Executive,"Diploma, Advanced/Higher/Graduate Diploma",8 years,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,More than 5000 Employees
