posted_date,company_name,job_title,salary,position_level,qualification,years_of_experience,job_type,job_specialisation,industry,company_size
Posted on 20-Feb-22,PAN NORTH PLASTIC INDUSTRIES,Operator,,Not Specified,Not Specified,,Full-Time,"Sales/Marketing,Marketing/Business Dev",Manufacturing / Production,1 - 50 Employees
Posted on 25-Feb-22,SAN YONG ENTERPRISE,Boilerman,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,51 - 200 Employees
Posted on 3-Mar-22,FOONG CHI MOULD INDUSTRIES,QC INSPECTOR,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,51 - 200 Employees
Posted on 15-Feb-22,NANOGRIND TECHNOLOGIES,Customer Service,,Not Specified,Not Specified,,Full-Time,"Services,Customer Service",General & Wholesale Trading,1 - 50 Employees
Posted on 18-Feb-22,Percetakan Konta,Planner,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Manufacturing / Production,51 - 200 Employees
Posted on 26-Feb-22,Intel,Penang Equipment Planning Coordination Team (EPCOT) Manager,,Not Specified,Not Specified,,,"Manufacturing,Manufacturing",Semiconductor/Wafer Fabrication,More than 5000 Employees
Posted on 19-Feb-22,RUHO CORPORATION,Forklift Operator,,Not Specified,Not Specified,,Full-Time,"Services,Logistics/Supply Chain",Manufacturing / Production,51 - 200 Employees
Posted on 24-Feb-22,MM CENTURY,GENERAL WORKER,,Not Specified,Not Specified,,Contract,"Admin/Human Resources,Clerical/Administrative Support",Environment/Health/Safety,1 - 50 Employees
Posted on 16-Feb-22,Cisco Systems,Product Supply Planner TMG,,Not Specified,Not Specified,,,"Manufacturing,Purchasing/Material Mgmt",Computer / Information Technology (Software),
Posted on 22-Feb-22,JAC Group,Director Of Operations (ems),,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Human Resources Management / Consulting,51 - 200 Employees
Posted on 23-Feb-22,Barkath CO-RO Manufacturing Sdn Bhd,Production Operator,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,51 - 200 Employees
Posted on 18-Feb-22,HALIZA INDUSTRIES SDN. BHD.,Production Clerk,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,
Posted on 2-Mar-22,SRI TANJUNG MEDICARE,Diagnostic Radiographer(Clinic),,Not Specified,Not Specified,,Full-Time,"Healthcare,Practitioner/Medical Asst",Healthcare / Medical,51 - 200 Employees
Posted on 25-Feb-22,CONTACTHINGS SOLUTION,Assembly Technician,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Electrical & Electronics,1 - 50 Employees
Posted on 18-Feb-22,Percetakan Konta,PLANNER,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,51 - 200 Employees
Posted on 23-Feb-22,PG Lean Hwa Trading,Farm Helper,,Not Specified,Not Specified,,Full-Time,"Sciences,Agriculture",Manufacturing / Production,51 - 200 Employees
Posted on 19-Feb-22,JLL Malaysia,Manufacturing Senior Executive,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Property / Real Estate,51 - 200 Employees
Posted on 5-Mar-22,99 Speed Mart,Supervisor(Penang),,Not Specified,Not Specified,,Full-Time,"Sales/Marketing,Retail Sales",General & Wholesale Trading,More than 5000 Employees
Posted on 4-Mar-22,KIMIA ZUE HUAT,Runner,,Not Specified,Not Specified,,Full-Time,"Engineering,Electrical",Manufacturing / Production,1 - 50 Employees
Posted on 10-Mar-22,Teepham Medical,Lorry Driver  cum Storekeeper,,Not Specified,Not Specified,,Full-Time,"Sales/Marketing,Retail Sales",Retail / Merchandise,51 - 200 Employees
Posted on 27-Feb-22,Inventec Appliances,Production Manager,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Electrical & Electronics,501 - 1000 Employees
Posted on 9-Mar-22,CHOON FATT SAUCE FACTORY,Machine Technician,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,1 - 50 Employees
Posted on 9-Mar-22,Jabil,Global Commodity Quote Analyst,,Not Specified,Not Specified,,Full-Time,"Services,Logistics/Supply Chain",Electrical & Electronics,More than 5000 Employees
Posted on 5-Mar-22,Honeywell,Assembler - Level 2,,Not Specified,Not Specified,,,"Manufacturing,Manufacturing",Telecommunication,201 - 500 Employees
